congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,6,4382,1,60.0
82,Senate,6,4418,6,41.2
82,Senate,6,4483,1,74.3
82,Senate,6,4520,1,78.6
82,Senate,6,4728,6,98.0
82,Senate,6,4747,7,27.4
82,Senate,6,4834,6,88.3
82,Senate,6,4922,7,20.4
82,Senate,6,4949,1,74.9
82,Senate,6,4979,1,35.7
82,Senate,6,5009,1,82.4
82,Senate,6,5122,4,92.8
82,Senate,6,5158,6,23.1
82,Senate,6,5213,1,57.8
82,Senate,6,5240,6,98.3
82,Senate,6,5343,1,40.6
82,Senate,6,5452,6,30.2
82,Senate,6,5591,6,99.8
82,Senate,6,5739,6,85.7
82,Senate,6,5767,6,26.3
82,Senate,6,5913,6,91.8
82,Senate,6,5944,1,88.4
82,Senate,6,6021,1,57.0
82,Senate,6,6107,1,82.0
82,Senate,6,6132,1,85.9
82,Senate,6,6137,1,69.9
82,Senate,6,6151,1,93.7
82,Senate,6,6242,1,48.8
82,Senate,6,6293,7,25.6
82,Senate,6,6346,7,1.4
82,Senate,6,6525,1,63.9
82,Senate,6,6597,6,78.8
82,Senate,6,6796,6,32.5
82,Senate,6,6820,6,93.5
82,Senate,6,6856,6,89.3
82,Senate,6,6939,7,63.7
82,Senate,6,7020,6,70.4
82,Senate,6,7070,6,81.6
82,Senate,6,7229,6,94.5
82,Senate,6,7958,1,90.5
82,Senate,6,8138,1,94.2
82,Senate,6,8185,6,68.2
82,Senate,6,8270,6,24.7
82,Senate,6,8593,6,32.6
82,Senate,6,8635,1,21.6
82,Senate,6,8666,1,29.6
82,Senate,6,8708,1,95.3
82,Senate,6,8764,7,64.3
82,Senate,6,8883,1,91.4
82,Senate,6,9152,1,44.4
82,Senate,6,9374,6,65.7
82,Senate,6,9401,6,83.5
82,Senate,6,9604,7,47.6
82,Senate,6,9865,6,40.2
82,Senate,6,9930,7,10.7
82,Senate,6,9998,1,86.3
82,Senate,6,10110,6,63.4
82,Senate,6,10163,1,65.9
82,Senate,6,10450,5,30.0
82,Senate,6,96738,6,96.6
82,Senate,7,52,1,76.7
82,Senate,7,165,1,79.0
82,Senate,7,645,6,63.8
82,Senate,7,659,7,0.3
82,Senate,7,1021,1,52.2
82,Senate,7,1024,6,70.6
82,Senate,7,1027,1,46.9
82,Senate,7,1338,6,83.4
82,Senate,7,1341,6,64.5
82,Senate,7,1365,6,89.1
82,Senate,7,1395,1,27.2
82,Senate,7,1489,6,64.2
82,Senate,7,1510,6,51.2
82,Senate,7,1570,6,67.2
82,Senate,7,1659,6,74.3
82,Senate,7,1678,7,31.3
82,Senate,7,1831,1,70.3
82,Senate,7,1986,6,48.0
82,Senate,7,2066,1,31.6
82,Senate,7,2609,5,47.5
82,Senate,7,2691,1,99.8
82,Senate,7,2745,6,19.7
82,Senate,7,2803,1,21.7
82,Senate,7,2822,6,94.8
82,Senate,7,2838,6,90.7
82,Senate,7,2901,6,89.4
82,Senate,7,3110,1,66.1
82,Senate,7,3206,1,75.4
82,Senate,7,3349,6,73.8
82,Senate,7,3388,1,55.0
82,Senate,7,3536,6,52.0
82,Senate,7,3603,7,49.5
82,Senate,7,3783,1,96.2
82,Senate,7,4227,6,25.3
82,Senate,7,4321,1,72.5
82,Senate,7,4328,1,96.7
82,Senate,7,4382,6,60.0
82,Senate,7,4418,1,41.2
82,Senate,7,4483,6,74.3
82,Senate,7,4520,6,78.6
82,Senate,7,4728,1,98.0
82,Senate,7,4747,7,27.4
82,Senate,7,4834,1,88.3
82,Senate,7,4922,7,20.4
82,Senate,7,4949,6,74.9
82,Senate,7,4979,6,35.7
82,Senate,7,5009,6,82.4
82,Senate,7,5122,1,92.8
82,Senate,7,5158,1,23.1
82,Senate,7,5213,6,57.8
82,Senate,7,5240,1,98.3
82,Senate,7,5343,6,40.6
82,Senate,7,5452,1,30.2
82,Senate,7,5591,1,99.8
82,Senate,7,5739,1,85.7
82,Senate,7,5767,1,26.3
82,Senate,7,5913,1,91.8
82,Senate,7,5944,6,88.4
82,Senate,7,6021,6,57.0
82,Senate,7,6107,6,82.0
